Comment,Designator,Footprint,LCSC
LED_SK6812MINI-E,LED2,LED_SK6812MINI-E_BL,
SW_Push,SW1,CherryMX_1u,
D,D1,Diode_TH_SMD,
ProMicro,U1,ProMicro_v2_1side,
LED_SK6812MINI-E,LED4,LED_SK6812MINI-E_BL,
LED_SK6812MINI-E,LED1,LED_SK6812MINI-E_BL,
LED_SK6812MINI-E,LED3,LED_SK6812MINI-E_BL,
SW_Push,SW2,CherryMX_1u,
SW_Push,SW3,CherryMX_1u,
D,D4,Diode_TH_SMD,
D,D2,Diode_TH_SMD,
D,D3,Diode_TH_SMD,
SW_Push,SW4,CherryMX_1u,
SW_Push,SW5,ResetSW_1side,
